test_id,app_name,section,subsection,dimension_type,sub_dimension,item_description,image_path,expected_output,actual_output,result,error_message,timestamp
1,SnapCalorie,Context,Illumination,Illumination,Illumination,In bright light,data/images/TC01.jpg,"Pomegranate, Juice","1305, calories remaining",FAIL,"no rule accepted output (expected='pomegranate, juice', actual='1305, calories remaining')",2026-05-01T23:50:54.965237+00:00
2,SnapCalorie,Context,Illumination,Illumination,Illumination,Food in bright light,data/images/TC02.jpg,"Pasta,Spaghetti","1305, calories remaining",FAIL,"no rule accepted output (expected='pasta,spaghetti', actual='1305, calories remaining')",2026-05-01T23:51:33.488700+00:00
3,SnapCalorie,Context,Illumination,Illumination,Illumination,Food in dark light,data/images/TC03.jpg,Apple,"1305, calories remaining",FAIL,"no rule accepted output (expected='apple', actual='1305, calories remaining')",2026-05-01T23:52:17.513908+00:00
4,SnapCalorie,Context,Illumination,Illumination,Illumination,Food in bright light,data/images/TC04.jpg,Eggs,"1305, calories remaining",FAIL,"no rule accepted output (expected='eggs', actual='1305, calories remaining')",2026-05-01T23:52:56.772061+00:00
5,SnapCalorie,Context,Background,Background,Background,Orange juice in same background (orange),data/images/TC05.jpg,Orange Juice,"1305, calories remaining",FAIL,"no rule accepted output (expected='orange juice', actual='1305, calories remaining')",2026-05-01T23:53:35.670038+00:00
6,SnapCalorie,Context,Background,Background,Background,Food in same color background,data/images/TC06.jpg,Tomato,"1305, calories remaining",FAIL,"no rule accepted output (expected='tomato', actual='1305, calories remaining')",2026-05-01T23:54:14.684681+00:00
7,SnapCalorie,Context,Background,Background,Background,Food with different color background,data/images/TC07.jpg,Bread,"1305, calories remaining",FAIL,"no rule accepted output (expected='bread', actual='1305, calories remaining')",2026-05-01T23:55:01.335787+00:00
8,SnapCalorie,Context,Background,Background,Background,Fruit with same background color,data/images/TC08.jpg,Banana,"1305, calories remaining",FAIL,"no rule accepted output (expected='banana', actual='1305, calories remaining')",2026-05-01T23:55:39.449605+00:00
9,SnapCalorie,Input,Plating,Plating,Plating,Single Item,data/images/TC09.jpg,Orange,"1305, calories remaining",FAIL,"no rule accepted output (expected='orange', actual='1305, calories remaining')",2026-05-01T23:56:17.612831+00:00
10,SnapCalorie,Input,Plating,Plating,Plating,Single Item,data/images/TC10.jpg,Cookies,"1305, calories remaining",FAIL,"no rule accepted output (expected='cookies', actual='1305, calories remaining')",2026-05-01T23:56:56.119207+00:00
11,SnapCalorie,Input,Plating,Plating,Plating,Multiple Item,data/images/TC11.jpg,"Chapati, dal,sabji,gulab jamun, rice, paneer, potato, channa, raita","1305, calories remaining",FAIL,"no rule accepted output (expected='chapati, dal,sabji,gulab jamun, rice, paneer, potato, channa, raita', actual='1305, calories remaining')",2026-05-01T23:57:34.925020+00:00
12,SnapCalorie,Input,Plating,Plating,Plating,Multiple Item,data/images/TC12.jpg,"Grapes, Strawberries, Blueberry, Raspberry","1305, calories remaining",FAIL,"no rule accepted output (expected='grapes, strawberries, blueberry, raspberry', actual='1305, calories remaining')",2026-05-01T23:58:13.385131+00:00
13,SnapCalorie,Input,Packaging,Packaging,Packaging,Single Item,data/images/TC13.jpg,Dumplings/Steamed Momos,"1305, calories remaining",FAIL,"no rule accepted output (expected='dumplings/steamed momos', actual='1305, calories remaining')",2026-05-01T23:58:52.335179+00:00
14,SnapCalorie,Input,Packaging,Packaging,Packaging,Unwrapped,data/images/TC14.jpg,Vegetable. Rice,"1305, calories remaining",FAIL,"no rule accepted output (expected='vegetable. rice', actual='1305, calories remaining')",2026-05-01T23:59:30.662029+00:00
15,SnapCalorie,Input,Packaging,Packaging,Packaging,Wrapped Food,data/images/TC15.jpg,Apple,"1305, calories remaining",FAIL,"no rule accepted output (expected='apple', actual='1305, calories remaining')",2026-05-02T00:00:09.073181+00:00
16,SnapCalorie,Input,Packaging,Packaging,Packaging,Wrapped Food,data/images/TC16.jpg,Madeleins,"1305, calories remaining",FAIL,"no rule accepted output (expected='madeleins', actual='1305, calories remaining')",2026-05-02T00:00:47.492906+00:00
17,SnapCalorie,Input,Category,Category,Category,Uncooked Food,data/images/TC17.jpg,Raw chicken Breast,"1305, calories remaining",FAIL,"no rule accepted output (expected='raw chicken breast', actual='1305, calories remaining')",2026-05-02T00:01:26.133343+00:00
18,SnapCalorie,Input,Category,Category,Category,Uncooked Food,data/images/TC18.jpg,Vegetables,"1305, calories remaining",FAIL,"no rule accepted output (expected='vegetables', actual='1305, calories remaining')",2026-05-02T00:02:04.796237+00:00
19,SnapCalorie,Input,Category,Category,Category,Cooked Food,data/images/TC19.jpg,"Pasta, chicken","1305, calories remaining",FAIL,"no rule accepted output (expected='pasta, chicken', actual='1305, calories remaining')",2026-05-02T00:02:43.405647+00:00
20,SnapCalorie,Input,Category,Category,Category,Cooked Food,data/images/TC20.jpg,Chicken curry bowl,"1305, calories remaining",FAIL,"no rule accepted output (expected='chicken curry bowl', actual='1305, calories remaining')",2026-05-02T00:03:21.833115+00:00
21,SnapCalorie,Input,State,State,State,Powder Form,data/images/TC21.jpg,Chilli Powder,"1305, calories remaining",FAIL,"no rule accepted output (expected='chilli powder', actual='1305, calories remaining')",2026-05-02T00:04:00.878133+00:00
22,SnapCalorie,Input,State,State,State,Solid Food,data/images/TC22.jpg,"Bread sandwich, tomato, cheese,lettuce","1305, calories remaining",FAIL,"no rule accepted output (expected='bread sandwich, tomato, cheese,lettuce', actual='1305, calories remaining')",2026-05-02T00:04:39.455167+00:00
23,SnapCalorie,Input,State,State,State,Solid Food,data/images/TC23.jpg,Grilled Chicken,"1305, calories remaining",FAIL,"no rule accepted output (expected='grilled chicken', actual='1305, calories remaining')",2026-05-02T00:05:17.538648+00:00
24,SnapCalorie,Input,Item Test,Item Test,Item Test,Liquid Food,data/images/TC24.jpg,Fruit Juice,"1305, calories remaining",FAIL,"no rule accepted output (expected='fruit juice', actual='1305, calories remaining')",2026-05-02T00:05:56.145502+00:00
25,SnapCalorie,Input,Item Test,Item Test,Item Test,Liquid Food,data/images/TC25.jpg,"Berry, Milk, Mint","1305, calories remaining",FAIL,"no rule accepted output (expected='berry, milk, mint', actual='1305, calories remaining')",2026-05-02T00:06:35.354715+00:00
26,SnapCalorie,Input,Item Test,Item Test,Item Test,Item that looks like food,data/images/TC26.jpg,"Sorry, we could not detect any food item in the picture","1305, calories remaining",FAIL,"no rule accepted output (expected='sorry, we could not detect any food item in the picture', actual='1305, calories remaining')",2026-05-02T00:07:14.224858+00:00
27,SnapCalorie,Input,Item Test,Item Test,Item Test,Not a food item,data/images/TC27.jpg,"Sorry, we could not detect the food in the picture","1305, calories remaining",FAIL,"no rule accepted output (expected='sorry, we could not detect the food in the picture', actual='1305, calories remaining')",2026-05-02T00:07:52.962143+00:00
28,SnapCalorie,Input,Item Test,Item Test,Item Test,Food,data/images/TC28.jpg,Onion,,FAIL,"no rule accepted output (expected='onion', actual='')",2026-05-02T00:09:32.967686+00:00
1,SnapCalorie,Context,Illumination,Illumination,Illumination,In bright light,data/images/TC01.jpg,"Pomegranate, Juice",,FAIL,"no rule accepted output (expected='pomegranate, juice', actual='')",2026-05-02T00:09:41.991124+00:00
2,SnapCalorie,Context,Illumination,Illumination,Illumination,Food in bright light,data/images/TC02.jpg,"Pasta,Spaghetti","1305, calories remaining",FAIL,"no rule accepted output (expected='pasta,spaghetti', actual='1305, calories remaining')",2026-05-02T00:10:08.100208+00:00
3,SnapCalorie,Context,Illumination,Illumination,Illumination,Food in dark light,data/images/TC03.jpg,Apple,"1305, calories remaining",FAIL,"no rule accepted output (expected='apple', actual='1305, calories remaining')",2026-05-02T00:10:41.680195+00:00
29,SnapCalorie,Input,Item Test,Item Test,Item Test,Not a Food Item,data/images/TC29.jpg,"Sorry, we could not detect the food in the picture",,FAIL,"no rule accepted output (expected='sorry, we could not detect the food in the picture', actual='')",2026-05-02T00:11:12.172986+00:00
4,SnapCalorie,Context,Illumination,Illumination,Illumination,Food in bright light,data/images/TC04.jpg,Eggs,"1305, calories remaining",FAIL,"no rule accepted output (expected='eggs', actual='1305, calories remaining')",2026-05-02T00:11:47.116271+00:00
5,SnapCalorie,Context,Background,Background,Background,Orange juice in same background (orange),data/images/TC05.jpg,Orange Juice,"1305, calories remaining",FAIL,"no rule accepted output (expected='orange juice', actual='1305, calories remaining')",2026-05-02T00:12:21.104106+00:00
6,SnapCalorie,Context,Background,Background,Background,Food in same color background,data/images/TC06.jpg,Tomato,"1305, calories remaining",FAIL,"no rule accepted output (expected='tomato', actual='1305, calories remaining')",2026-05-02T00:12:31.520862+00:00
30,SnapCalorie,Input,Item Test,Item Test,Item Test,Food Item,data/images/TC30.jpg,Bacon,,FAIL,"no rule accepted output (expected='bacon', actual='')",2026-05-02T00:12:51.990841+00:00
7,SnapCalorie,Context,Background,Background,Background,Food with different color background,data/images/TC07.jpg,Bread,,FAIL,"no rule accepted output (expected='bread', actual='')",2026-05-02T00:13:41.411981+00:00
8,SnapCalorie,Context,Background,Background,Background,Fruit with same background color,data/images/TC08.jpg,Banana,"1305, calories remaining",FAIL,"no rule accepted output (expected='banana', actual='1305, calories remaining')",2026-05-02T00:13:51.600693+00:00
31,SnapCalorie,Input,Item Test,Item Test,Item Test,Item that looks like food,data/images/TC31.jpg,"Sorry, we could not detect the food in the picture",,FAIL,"no rule accepted output (expected='sorry, we could not detect the food in the picture', actual='')",2026-05-02T00:14:31.411684+00:00
9,SnapCalorie,Input,Plating,Plating,Plating,Single Item,data/images/TC09.jpg,Orange,,FAIL,"no rule accepted output (expected='orange', actual='')",2026-05-02T00:15:01.767815+00:00
10,SnapCalorie,Input,Plating,Plating,Plating,Single Item,data/images/TC10.jpg,Cookies,,FAIL,"no rule accepted output (expected='cookies', actual='')",2026-05-02T00:16:36.664891+00:00
11,SnapCalorie,Input,Plating,Plating,Plating,Multiple Item,data/images/TC11.jpg,"Chapati, dal,sabji,gulab jamun, rice, paneer, potato, channa, raita",,FAIL,"no rule accepted output (expected='chapati, dal,sabji,gulab jamun, rice, paneer, potato, channa, raita', actual='')",2026-05-02T00:18:11.147130+00:00
12,SnapCalorie,Input,Plating,Plating,Plating,Multiple Item,data/images/TC12.jpg,"Grapes, Strawberries, Blueberry, Raspberry",,FAIL,"no rule accepted output (expected='grapes, strawberries, blueberry, raspberry', actual='')",2026-05-02T00:19:45.624096+00:00
13,SnapCalorie,Input,Packaging,Packaging,Packaging,Single Item,data/images/TC13.jpg,Dumplings/Steamed Momos,,FAIL,"no rule accepted output (expected='dumplings/steamed momos', actual='')",2026-05-02T00:21:20.475824+00:00
14,SnapCalorie,Input,Packaging,Packaging,Packaging,Unwrapped,data/images/TC14.jpg,Vegetable. Rice,,FAIL,"no rule accepted output (expected='vegetable. rice', actual='')",2026-05-02T00:22:55.813707+00:00
15,SnapCalorie,Input,Packaging,Packaging,Packaging,Wrapped Food,data/images/TC15.jpg,Apple,,FAIL,"no rule accepted output (expected='apple', actual='')",2026-05-02T00:24:30.532839+00:00
16,SnapCalorie,Input,Packaging,Packaging,Packaging,Wrapped Food,data/images/TC16.jpg,Madeleins,,FAIL,"no rule accepted output (expected='madeleins', actual='')",2026-05-02T00:26:05.482205+00:00
17,SnapCalorie,Input,Category,Category,Category,Uncooked Food,data/images/TC17.jpg,Raw chicken Breast,,FAIL,"no rule accepted output (expected='raw chicken breast', actual='')",2026-05-02T00:27:40.381173+00:00
18,SnapCalorie,Input,Category,Category,Category,Uncooked Food,data/images/TC18.jpg,Vegetables,,FAIL,"no rule accepted output (expected='vegetables', actual='')",2026-05-02T00:29:15.648535+00:00
19,SnapCalorie,Input,Category,Category,Category,Cooked Food,data/images/TC19.jpg,"Pasta, chicken",,FAIL,"no rule accepted output (expected='pasta, chicken', actual='')",2026-05-02T00:30:50.980184+00:00
20,SnapCalorie,Input,Category,Category,Category,Cooked Food,data/images/TC20.jpg,Chicken curry bowl,,FAIL,"no rule accepted output (expected='chicken curry bowl', actual='')",2026-05-02T00:32:26.017635+00:00
21,SnapCalorie,Input,State,State,State,Powder Form,data/images/TC21.jpg,Chilli Powder,,FAIL,"no rule accepted output (expected='chilli powder', actual='')",2026-05-02T00:34:01.009092+00:00
